2026-03-11 19:14:16 - INFO - viterbi processed marker 2100 for S1_trivial_2_h2
2026-03-11 19:14:17 - INFO - viterbi processed marker 2200 for S1_trivial_2_h2
2026-03-11 19:14:19 - INFO - viterbi processed marker 2300 for S1_trivial_2_h2
2026-03-11 19:14:21 - INFO - viterbi processed marker 2400 for S1_trivial_2_h2
2026-03-11 19:14:22 - INFO - viterbi processed marker 2500 for S1_trivial_2_h2
2026-03-11 19:14:24 - INFO - viterbi processed marker 2600 for S1_trivial_2_h2
2026-03-11 19:14:25 - INFO - viterbi processed marker 2700 for S1_trivial_2_h2
2026-03-11 19:14:27 - INFO - viterbi processed marker 2800 for S1_trivial_2_h2
2026-03-11 19:14:29 - INFO - viterbi processed marker 2900 for S1_trivial_2_h2
2026-03-11 19:14:30 - INFO - viterbi processed marker 3000 for S1_trivial_2_h2
2026-03-11 19:14:32 - INFO - viterbi processed marker 3100 for S1_trivial_2_h2
2026-03-11 19:14:33 - INFO - viterbi processed marker 3200 for S1_trivial_2_h2
2026-03-11 19:14:35 - INFO - viterbi processed marker 3300 for S1_trivial_2_h2
2026-03-11 19:14:37 - INFO - viterbi processed marker 3400 for S1_trivial_2_h2
2026-03-11 19:14:38 - INFO - viterbi processed marker 3500 for S1_trivial_2_h2
2026-03-11 19:14:40 - INFO - viterbi processed marker 3600 for S1_trivial_2_h2
2026-03-11 19:14:41 - INFO - viterbi processed marker 3700 for S1_trivial_2_h2
2026-03-11 19:14:43 - INFO - viterbi processed marker 3800 for S1_trivial_2_h2
2026-03-11 19:14:44 - INFO - viterbi processed marker 3900 for S1_trivial_2_h2
2026-03-11 19:14:46 - INFO - viterbi processed marker 4000 for S1_trivial_2_h2
2026-03-11 19:14:48 - INFO - viterbi processed marker 4100 for S1_trivial_2_h2
2026-03-11 19:14:49 - INFO - viterbi processed marker 4200 for S1_trivial_2_h2
2026-03-11 19:14:51 - INFO - viterbi processed marker 4300 for S1_trivial_2_h2
2026-03-11 19:14:52 - INFO - viterbi processed marker 4400 for S1_trivial_2_h2
2026-03-11 19:14:54 - INFO - viterbi processed marker 4500 for S1_trivial_2_h2
2026-03-11 19:14:55 - INFO - viterbi processed marker 4600 for S1_trivial_2_h2
2026-03-11 19:14:57 - INFO - viterbi processed marker 4700 for S1_trivial_2_h2
2026-03-11 19:14:58 - INFO - viterbi processed marker 4800 for S1_trivial_2_h2
2026-03-11 19:15:00 - INFO - viterbi processed marker 4900 for S1_trivial_2_h2
2026-03-11 19:15:02 - INFO - viterbi processed marker 5000 for S1_trivial_2_h2
2026-03-11 19:15:03 - INFO - viterbi processed marker 5100 for S1_trivial_2_h2
2026-03-11 19:15:05 - INFO - viterbi processed marker 5200 for S1_trivial_2_h2
2026-03-11 19:15:06 - INFO - viterbi processed marker 5300 for S1_trivial_2_h2
2026-03-11 19:15:08 - INFO - viterbi processed marker 5400 for S1_trivial_2_h2
2026-03-11 19:15:09 - INFO - viterbi processed marker 5500 for S1_trivial_2_h2
2026-03-11 19:15:11 - INFO - viterbi processed marker 5600 for S1_trivial_2_h2
2026-03-11 19:15:13 - INFO - viterbi processed marker 5700 for S1_trivial_2_h2
2026-03-11 19:15:14 - INFO - viterbi processed marker 5800 for S1_trivial_2_h2
2026-03-11 19:15:16 - INFO - viterbi processed marker 5900 for S1_trivial_2_h2
2026-03-11 19:15:17 - INFO - viterbi processed marker 6000 for S1_trivial_2_h2
2026-03-11 19:15:19 - INFO - viterbi processed marker 6100 for S1_trivial_2_h2
2026-03-11 19:15:20 - INFO - viterbi processed marker 6200 for S1_trivial_2_h2
2026-03-11 19:15:22 - INFO - viterbi processed marker 6300 for S1_trivial_2_h2
2026-03-11 19:15:23 - INFO - haplotype 4 (S1_trivial_2_h2) processed
2026-03-11 19:16:56 - INFO - forward pass complete for S2_two_ancestries_1_h1
2026-03-11 19:18:29 - INFO - backward pass complete for S2_two_ancestries_1_h1
2026-03-11 19:18:41 - INFO - global ancestry calculated for S2_two_ancestries_1_h1
2026-03-11 19:18:43 - INFO - viterbi processed marker 100 for S2_two_ancestries_1_h1
